""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"PLXNB2"	26.5540797482249	-1.77505868417466	0.378153864916962	-4.69401174721418	2.6789863901364e-06	7.40438175577489e-05
"PLXNB3"	1.3939202253154	0.319512962828059	1.20356783889628	0.265471502728975	0.790646260042461	NA
"PLXND1"	6.22215331813119	-2.16536748900892	0.701355584040391	-3.08740322068102	0.00201913506846096	0.0119697584403516
"PM20D2"	9.74799226615782	-1.75334011765226	0.565124791936869	-3.10257157829333	0.00191847147621262	0.0115044681445113
"PMAIP1"	96.4717217810867	3.22937788305731	0.448011134479262	7.2082536225599	5.66739999020217e-13	1.12898885087839e-10
"PMCH"	4.31568225195919	-0.746334222372782	0.74622224107342	-1.00015006427469	0.317237890989381	0.4782804016944
"PMEL"	2.44065352664516	0.557547235013597	0.903042645718123	0.617409640239328	0.536964564997269	0.68107542975026
"PMEPA1"	20.0407990900506	0.225855084664853	0.379256229878134	0.595521093318432	0.55149520370824	0.692817738132628
"PMF1"	6.95125758684054	1.64848642528415	0.583118662474214	2.82701709166623	0.00469838201160397	0.0223952673943633
"PML"	10.7522949492185	-0.202326033230071	0.492173227214222	-0.411087036113826	0.681008715546045	0.794770459167414
"PMM1"	16.7312498165474	1.14859300234343	0.403363403260168	2.84753895137727	0.004405870215449	0.0213773794736721
"PMM2"	29.5004604836334	-0.407548258689664	0.323092881323535	-1.26139658979846	0.207165996370454	0.359616366121292
"PMP22"	64.5743371064464	0.330750854481304	0.264850386712894	1.2488214896958	0.211730372146651	0.365030906127423
"PMPCA"	49.7727871496221	-0.510730011904356	0.306132075660819	-1.66833224124552	0.095249791025092	0.207392718837476
"PMPCB"	27.7770155644818	0.35304700626226	0.308233397097253	1.14538855810899	0.252048235916995	0.411938897029665
"PMS1"	9.41471967462635	0.235537404932615	0.470139905654007	0.5009942829783	0.616375146440798	0.746808445733527
"PMS2"	3.71333972418445	-2.17834345979206	0.868521476757746	-2.50810546208249	0.0121380433762953	0.0455413866264841
"PMS2CL"	1.5911077627315	-2.2455879886113	1.33689901700037	-1.67969903489777	0.0930158876691905	NA
"PMS2P1"	16.1956067200263	0.291715293831246	0.448313083430757	0.650695472902257	0.515243086124442	0.66364968931339
"PMS2P4"	2.91004091409073	1.50986385927441	0.872300016515863	1.73089972565299	0.0834696505834646	0.189033155482673
"PMS2P5"	2.66442658816087	-0.206093181991692	0.877897469180793	-0.234757690079693	0.814396808476311	0.886524539013598
"PMVK"	37.0165364269397	1.19138092489522	0.319490762461999	3.7289995983434	0.000192241458477322	0.00205850437992248
"PNISR"	8.09753213493715	-0.0281317087270215	0.508673198187415	-0.055304090774322	0.955896203189563	0.975446951721608
"PNKD"	52.7570350161878	0.843855850371087	0.312208975830218	2.70285582958378	0.00687465574479246	0.0299063104052405
"PNKP"	8.67407006900737	0.150588964158494	0.493832548799368	0.304939325130783	0.76041236411131	0.850740038178151
"PNMA1"	38.7179024748831	-0.441776425453812	0.292931622388145	-1.5081213214613	0.131523479187126	0.260872608164133
"PNMA2"	19.3230644749911	-1.07995046446237	0.400613184344962	-2.69574369158167	0.00702316844509878	0.0304484314355218
"PNMAL1"	1.33769421926314	-0.336232132868236	1.19836773305055	-0.280575088593489	0.779036325228097	NA
"PNN"	18.0862350328502	-0.480462836771516	0.382649050926253	-1.25562270599781	0.209252795025967	0.362000820888769
"PNO1"	57.5687161350442	0.265829750266	0.255835004249696	1.03906715598053	0.298773504640448	0.459229969718133
"PNP"	141.34197937326	2.19223542209221	0.270265385742162	8.1114176573971	5.00325606462495e-16	1.76081258434367e-13
"PNPLA2"	11.8684840189953	0.407405408909023	0.432127081080482	0.94279073621203	0.345787951038382	0.505865205357246
"PNPLA3"	0.978661979987065	-1.50533460524481	1.58596396503507	-0.949160660917993	0.34253890603551	NA
