"FSC-A","SSC-A","Comp-APC-A","Comp-BV421-A","Comp-FITC-A","Comp-PE-Texas Red-A","Time"
82760.773438,43937.164062,104.597244,4211.929688,201.491028,239.178101,44.458073
79730.851562,46855.285156,60.149136,2966.280273,245.062302,254.928543,44.458221
56038.671875,47336.601562,28.682896,3025.478516,118.028374,296.920105,44.461170
59514.425781,44329.343750,39.087749,3323.168701,160.437332,309.591400,44.463001
69574.179688,42089.128906,93.892784,3824.622314,189.109619,249.818710,44.464149
54977.851562,34728.511719,24.296671,2347.098389,98.484146,172.614441,44.464413
73214.101562,37713.054688,42.047649,3219.769531,138.930893,293.521545,44.464592
112916.148438,78915.007812,66.744194,8093.989258,373.138000,612.844055,44.465015
82845.578125,66709.835938,61.205219,3329.058105,181.870087,283.416443,44.465996
64956.058594,50751.007812,105.186241,4090.922607,158.013962,317.266296,44.466137
79116.898438,49473.343750,-7.157153,3828.204346,181.735931,328.714752,44.466373
72762.648438,50056.382812,106.633759,4559.407227,222.715759,269.846375,44.467300
55172.746094,35568.695312,90.154671,3236.891357,173.278961,263.165466,44.467381
91327.132812,60692.757812,80.828606,4071.311279,407.343170,587.965698,44.467834
62017.242188,53935.500000,94.759789,4940.218262,181.467636,237.794937,44.469250
60435.121094,25884.085938,-7.498465,1920.507690,53.975834,114.496185,44.469280
71968.234375,36561.882812,71.403107,3253.831299,130.686386,306.705322,44.469585
52734.746094,29433.751953,11.426499,3087.590576,208.640869,264.986420,44.470127
85108.515625,58189.003906,66.988884,3419.889648,204.899918,323.471527,44.470390
76337.945312,60278.203125,43.608757,3930.207520,292.474884,420.542511,44.470612
108787.242188,79920.039062,91.210770,5572.089355,298.663147,449.470703,44.470871
72182.531250,41484.339844,52.174271,2958.629883,188.238632,262.675110,44.472652
40216.476562,21102.308594,19.501671,2225.241455,116.401978,161.492661,44.473450
54676.328125,34371.402344,49.115326,3627.841553,178.448471,322.238464,44.475948
72313.632812,37825.195312,92.093498,3064.639893,134.269333,275.843201,44.477104
71320.125000,38073.445312,27.691441,2986.377197,105.005554,237.068665,44.477840
45448.210938,23960.236328,53.785877,2557.600830,53.906796,156.169617,44.478306
48252.281250,32575.578125,40.137577,2738.777344,57.220535,215.661407,44.478638
72140.625000,39317.449219,112.697311,3314.182861,136.026276,227.741302,44.479160
78003.156250,43961.558594,89.299255,2736.348633,263.754333,264.297302,44.481396
47527.417969,38852.546875,64.495850,2024.635742,118.163895,161.603714,44.482643
59800.007812,32269.347656,71.215546,2260.395996,122.769630,337.965118,44.484688
57043.675781,58251.031250,48.478004,2866.098877,181.333481,284.375702,44.484818
57800.339844,41791.769531,64.364937,420.659729,97.396599,307.812805,44.486824
82009.250000,50563.953125,82.748650,3937.857422,239.616226,294.512817,44.488125
53530.281250,43920.507812,69.480019,1513.103394,122.498795,94.733101,44.489639
