"FSC-A","SSC-A","PerCP-Cy5-5-A","Time"
73555.2,80206.9,41211.4,3.57853
92537.6,71039.6,105.4,3.57956
88826.4,106148,105.4,3.58059
69366.4,57428.1,27.28,3.58162
99391.2,123825,136.4,3.58265
81083.2,65800.6,152.52,3.58265
79115.2,79191.4,55.8,3.58368
76167.2,93752.7,362.08,3.58471
107618,96875,147.56,3.58574
74516,47497,47.12,3.58677
85722.4,89587.5,66.96,3.61763
79080,83656.6,52.08,3.61969
88736,94412.4,116.56,3.6413
103489,116750,735.32,3.64439
82429.6,91571.5,183.52,3.6485
77562.4,94144.5,83.08,3.64953
82260.8,53116.6,75.64,3.65262
57576,48806.4,58.28,3.65467
77685.6,65746,74.4,3.6557
77204.8,60800.9,54.56,3.65982
79990.4,40706.7,94.24,3.66085
78239.2,99831.2,221.96,3.66291
82196,98364.2,120.28,3.66496
74121.6,77312.8,47.12,3.67011
93276.8,86261.8,116.56,3.67731
90834.4,75084.5,115.32,3.67834
77500.8,50873.5,414.16,3.67937
86319.2,52914.5,11.16,3.6804
83497.6,55826,50.84,3.68245
75563.2,88475.2,40.92,3.68451
94632,82451.3,91.76,3.68451
98878.4,137712,96.72,3.6876
104556,116736,163.68,3.68863
80680.8,73617.6,16.12,3.69069
59331.2,37366.2,63.24,3.69274
78780.8,66481.4,40.92,3.6948
67700.8,37244.6,39.68,3.69583
72064.8,65706.4,66.96,3.69686
88219.2,89745,973.4,3.69789
83060,89298.6,148.8,3.69995
67982.4,61417.2,184.76,3.69995
85109.6,85251.2,79.36,3.70303
101156,106314,83.08,3.70509
117222,114033,111.6,3.70715
85948.8,83237.5,167.4,3.71024
92256,132596,168.64,3.73081
108610,86797.5,235.6,3.7339
76094.4,61799.1,74.4,3.73596
97098.4,85884.9,73.16,3.74007
67355.2,70527.5,12.4,3.7411
74740,67774.7,44.64,3.76785
99404.8,77815,19.84,3.77814
90709.6,85775.8,155,3.7802
68280,45825.4,38.44,3.7802
74008.8,64811.1,112.84,3.78123
93928,104336,236.84,3.78535
78816,63264.8,121.52,3.79049
82760.8,63438.4,26.04,3.79563
62452,51493.5,29.76,3.79666
73719.2,109387,8.68,3.79872
