"FSC-A","SSC-A","PerCP-Cy5-5-A","Time"
82339.2,76514.2,33.48,3.12099
85693.6,73822.2,64.48,3.12305
94727.2,83142,132.68,3.12409
93318.4,72545,81.84,3.12615
78069.6,73670.9,133.92,3.12925
85707.2,86570.6,91.76,3.13132
90128,88386,52.08,3.13235
92998.4,75871.9,94.24,3.13442
101540,82333.5,64.48,3.13545
79344.8,66084.6,78.12,3.13752
65790.4,75740.4,84.32,3.13855
107629,96164.5,68.2,3.13958
77564.8,61621.8,452.6,3.14268
84989.6,87029.4,285.2,3.14888
74644,41604.5,29.76,3.16231
71246.4,59510.1,252.96,3.16954
87573.6,101926,198.4,3.17058
97299.2,99195,84668.4,3.17264
92608.8,76806.8,3142.16,3.17471
96384.8,93079.4,4755.4,3.17574
84906.4,84822.2,86.8,3.17781
67905.6,93174.8,146.32,3.17987
102130,103752,239.32,3.18194
90244.8,102626,57.04,3.18504
78109.6,46832.3,38.44,3.18711
72592.8,71171,65.72,3.18711
105878,88154.1,127.72,3.21913
74189.6,50753.2,11631.2,3.2212
68960,58807,33.48,3.22636
86428,103947,425.32,3.2274
63732.8,45188.1,163.68,3.22946
76411.2,65695.2,49.6,3.22946
77844.8,69545.4,121.52,3.23153
81326.4,88043.7,57.04,3.23256
83019.2,103061,213.28,3.23463
70019.2,88347.5,58262.6,3.23566
81543.2,66428,73.16,3.23876
70376.8,92759.4,112.84,3.23876
87364,118235,1170.56,3.24186
69160,59905.6,70.68,3.24806
91334.4,75038.6,141.36,3.27595
99588,63624.4,652.24,3.28525
79881.6,64317.6,127.72,3.28732
74134.4,96346.8,367.04,3.28938
89735.2,82699.3,96.72,3.29145
71132,58463.5,7.44,3.29351
93626.4,89399,97.96,3.29455
68171.2,56036.8,3.72,3.29558
69434.4,61732.2,44.64,3.29661
79336.8,55575.6,23.56,3.29661
82442.4,111345,65.72,3.29765
80952.8,51367,55.8,3.29971
63060,63298.3,1504.12,3.30178
82763.2,109282,135.16,3.30281
79450.4,68293,48.36,3.30385
100944,113846,117.8,3.30385
81265.6,64315.1,954.8,3.30488
72056.8,65334.4,127.72,3.30591
78040.8,65969.2,436.48,3.30694
86015.2,62703.1,29.76,3.30901
79788,62336,121.52,3.30901
86864,52557.4,187.24,3.31211
95404,88925.4,241.8,3.31314
96718.4,97108.1,28.52,3.31521
72046.4,54831.6,-13.64,3.31624
80458.4,97712,472.44,3.31831
87097.6,64374.6,106.64,3.31934
67608,65629.5,110.36,3.3586
57094.4,49938.5,115.32,3.36686
98624.8,94137.1,4027.52,3.37203
83035.2,70456.8,248,3.3741
104833,89875.2,234.36,3.37616
97713.6,107276,147.56,3.37823
92612,149575,51744,3.38029
89815.2,85873.7,99.2,3.38133
85521.6,57941.5,104.16,3.38133
61624.8,44455.2,21.08,3.38339
83880,83213.9,220.72,3.38443
90843.2,109106,173.6,3.38546
112896,134590,162.44,3.38856
109579,87142.2,148.8,3.39166
85205.6,55468.9,40.92,3.39269
88150.4,71153.7,143.84,3.39476
75772,60130.1,114.08,3.39579
71077.6,42375.8,90.52,3.39682
70577.6,88347.5,74.4,3.39786
72430.4,82412.9,58.28,3.39786
87920,137729,204.6,3.39889
84539.2,79997.4,114.08,3.40302
94864.8,105507,157.48,3.40406
81271.2,81962.8,38.44,3.40715
68194.4,46910.4,74.4,3.40922
80897.6,95136.5,146.32,3.41232
74324.8,65490.6,-16.12,3.42575
62717.6,60105.3,203.36,3.45571
90636.8,105786,7149.84,3.45881
82757.6,75831,192.2,3.46398
79717.6,59357.6,70.68,3.46604
60224,65490.6,-2.48,3.46811
70161.6,61785.5,54.56,3.46914
87503.2,62850.6,85.56,3.47017
73142.4,69790.9,50.84,3.47121
71597.6,35704.6,120.28,3.47224
76091.2,56890,6906.8,3.47327
91337.6,116636,107.88,3.47327
68159.2,59244.7,131.44,3.47327
95192,86540.8,748.96,3.47431
87862.4,97051.1,86.8,3.47431
85809.6,88609.2,78.12,3.47534
97464,74517.8,234.36,3.47637
100826,82471.2,168.64,3.47741
66660.8,41303.2,80.6,3.47947
78906.4,91557.9,84.32,3.47947
69256.8,58875.2,111.6,3.48257
78620.8,83798,110.36,3.48464
70428.8,51307.5,115.32,3.48464
99868,109723,125.24,3.4867
79283.2,69505.7,16.12,3.4898
66051.2,60592.6,140.12,3.4898
70873.6,54212.8,44.64,3.49084
85076.8,111211,106.64,3.4929
113373,106067,106.64,3.49497
70474.4,52910.8,60.76,3.49703
72097.6,90889.5,220.72,3.50013
70729.6,63824,84.32,3.50323
82318.4,64776.4,112.84,3.53319
85174.4,58234.1,97.96,3.55282
91448,79679.9,43.4,3.58485
67282.4,55692.1,96.72,3.58588
76736,45623.3,80.6,3.58795
67661.6,40231.8,39.68,3.58898
83362.4,63553.7,48.36,3.59105
83580,101055,5095.16,3.59208
59633.6,56650.6,71.92,3.59415
87080,64053.4,116.56,3.59415
79519.2,86813.6,125.24,3.59621
74284.8,64560.6,24.8,3.59725
92926.4,70026.5,116.56,3.59931
71443.2,49087.9,79.36,3.60138
72710.4,58629.7,110.36,3.60448
95560,80461.1,93,3.60448
74300.8,58451.1,111.6,3.60654
71941.6,63449.6,66.96,3.60758
66200.8,42430.3,114.08,3.60758
